config_id,run_id,metric_name,metric_value,event_ids,actor,actor_identity,key_fields,source_file,line_number,timestamp,notes
C08,2026-03-01_exp_10,task_completed,1,2026-03-01_exp_10:game:4:event:7,Player 1: red,Crewmate,"{""tasks_done_so_far"": 1, ""tasks_completed_this_player"": 0, ""tasks_total_this_player"": 3, ""timestep"": 1, ""human_won"": false}",C:\Users\shiven\Desktop\AmongUs\amongus_llama_human_impostor\2026-03-01_exp_10\structured-v1\events_v1.jsonl,7,2026-03-01T08:15:24.950480Z,
C08,2026-03-01_exp_10,task_completed,2,2026-03-01_exp_10:game:4:event:8,Player 2: yellow,Crewmate,"{""tasks_done_so_far"": 2, ""tasks_completed_this_player"": 0, ""tasks_total_this_player"": 3, ""timestep"": 1, ""human_won"": false}",C:\Users\shiven\Desktop\AmongUs\amongus_llama_human_impostor\2026-03-01_exp_10\structured-v1\events_v1.jsonl,8,2026-03-01T08:15:25.895240Z,
C08,2026-03-01_exp_10,task_completed,3,2026-03-01_exp_10:game:4:event:9,Player 3: blue,Crewmate,"{""tasks_done_so_far"": 3, ""tasks_completed_this_player"": 0, ""tasks_total_this_player"": 3, ""timestep"": 1, ""human_won"": false}",C:\Users\shiven\Desktop\AmongUs\amongus_llama_human_impostor\2026-03-01_exp_10\structured-v1\events_v1.jsonl,9,2026-03-01T08:15:28.520593Z,
C08,2026-03-01_exp_10,task_completed,4,2026-03-01_exp_10:game:4:event:10,Player 4: white,Crewmate,"{""tasks_done_so_far"": 4, ""tasks_completed_this_player"": 0, ""tasks_total_this_player"": 3, ""timestep"": 1, ""human_won"": false}",C:\Users\shiven\Desktop\AmongUs\amongus_llama_human_impostor\2026-03-01_exp_10\structured-v1\events_v1.jsonl,10,2026-03-01T08:15:32.216953Z,
C08,2026-03-01_exp_10,task_completed,5,2026-03-01_exp_10:game:4:event:20,Player 2: yellow,Crewmate,"{""tasks_done_so_far"": 5, ""tasks_completed_this_player"": 1, ""tasks_total_this_player"": 3, ""timestep"": 3, ""human_won"": false}",C:\Users\shiven\Desktop\AmongUs\amongus_llama_human_impostor\2026-03-01_exp_10\structured-v1\events_v1.jsonl,20,2026-03-01T08:16:47.046899Z,
C08,2026-03-01_exp_10,task_completed,6,2026-03-01_exp_10:game:4:event:31,Player 1: red,Crewmate,"{""tasks_done_so_far"": 6, ""tasks_completed_this_player"": 1, ""tasks_total_this_player"": 3, ""timestep"": 5, ""human_won"": false}",C:\Users\shiven\Desktop\AmongUs\amongus_llama_human_impostor\2026-03-01_exp_10\structured-v1\events_v1.jsonl,31,2026-03-01T08:19:33.731790Z,
C08,2026-03-01_exp_10,task_completed,7,2026-03-01_exp_10:game:4:event:46,Player 4: white,Crewmate,"{""tasks_done_so_far"": 7, ""tasks_completed_this_player"": 1, ""tasks_total_this_player"": 3, ""timestep"": 7, ""human_won"": false}",C:\Users\shiven\Desktop\AmongUs\amongus_llama_human_impostor\2026-03-01_exp_10\structured-v1\events_v1.jsonl,46,2026-03-01T08:20:35.597006Z,
C08,2026-03-01_exp_10,task_completed,8,2026-03-01_exp_10:game:4:event:49,Player 1: red,Crewmate,"{""tasks_done_so_far"": 8, ""tasks_completed_this_player"": 2, ""tasks_total_this_player"": 3, ""timestep"": 8, ""human_won"": false}",C:\Users\shiven\Desktop\AmongUs\amongus_llama_human_impostor\2026-03-01_exp_10\structured-v1\events_v1.jsonl,49,2026-03-01T08:21:03.189750Z,
C08,2026-03-01_exp_10,task_completed,9,2026-03-01_exp_10:game:4:event:57,Player 3: blue,Crewmate,"{""tasks_done_so_far"": 9, ""tasks_completed_this_player"": 1, ""tasks_total_this_player"": 3, ""timestep"": 9, ""human_won"": false}",C:\Users\shiven\Desktop\AmongUs\amongus_llama_human_impostor\2026-03-01_exp_10\structured-v1\events_v1.jsonl,57,2026-03-01T08:21:43.574421Z,
C08,2026-03-01_exp_10,task_completed,10,2026-03-01_exp_10:game:4:event:58,Player 4: white,Crewmate,"{""tasks_done_so_far"": 10, ""tasks_completed_this_player"": 2, ""tasks_total_this_player"": 3, ""timestep"": 9, ""human_won"": false}",C:\Users\shiven\Desktop\AmongUs\amongus_llama_human_impostor\2026-03-01_exp_10\structured-v1\events_v1.jsonl,58,2026-03-01T08:21:44.458315Z,
