config_id,run_id,metric_name,metric_value,event_ids,actor,actor_identity,key_fields,source_file,line_number,timestamp,notes
C06,2026-02-28_exp_5,api_call_latency,2113.17,1-t0-agent-Player 1: blue,Player 1: blue,Crewmate,"{""latency_ms"": 2113.17, ""prompt_tokens"": 1225, ""completion_tokens"": 146, ""phase"": ""Task phase"", ""step"": 0, ""thinking_depth_wc"": 45}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-28_exp_5\structured-v1\api_calls_v1.jsonl,1,2026-02-28 13:05:34.271965,
C06,2026-02-28_exp_5,api_call_latency,2543.77,1-t0-agent-Player 2: pink,Player 2: pink,Impostor,"{""latency_ms"": 2543.77, ""prompt_tokens"": 1282, ""completion_tokens"": 248, ""phase"": ""Task phase"", ""step"": 0, ""thinking_depth_wc"": 141}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-28_exp_5\structured-v1\api_calls_v1.jsonl,2,2026-02-28 13:05:36.832568,
C06,2026-02-28_exp_5,api_call_latency,2025.67,1-t0-agent-Player 3: lime,Player 3: lime,Crewmate,"{""latency_ms"": 2025.67, ""prompt_tokens"": 1266, ""completion_tokens"": 139, ""phase"": ""Task phase"", ""step"": 0, ""thinking_depth_wc"": 47}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-28_exp_5\structured-v1\api_calls_v1.jsonl,3,2026-02-28 13:05:38.867615,
C06,2026-02-28_exp_5,api_call_latency,1859.3,1-t0-agent-Player 4: white,Player 4: white,Crewmate,"{""latency_ms"": 1859.3, ""prompt_tokens"": 1267, ""completion_tokens"": 150, ""phase"": ""Task phase"", ""step"": 0, ""thinking_depth_wc"": 44}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-28_exp_5\structured-v1\api_calls_v1.jsonl,4,2026-02-28 13:05:40.737213,
C06,2026-02-28_exp_5,api_call_latency,1807.18,1-t0-agent-Player 6: green,Player 6: green,Crewmate,"{""latency_ms"": 1807.18, ""prompt_tokens"": 1281, ""completion_tokens"": 139, ""phase"": ""Task phase"", ""step"": 0, ""thinking_depth_wc"": 55}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-28_exp_5\structured-v1\api_calls_v1.jsonl,5,2026-02-28 13:05:51.281817,
C06,2026-02-28_exp_5,api_call_latency,1515.29,1-t0-agent-Player 7: red,Player 7: red,Crewmate,"{""latency_ms"": 1515.29, ""prompt_tokens"": 1267, ""completion_tokens"": 111, ""phase"": ""Task phase"", ""step"": 0, ""thinking_depth_wc"": 47}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-28_exp_5\structured-v1\api_calls_v1.jsonl,6,2026-02-28 13:05:52.803912,
C06,2026-02-28_exp_5,api_call_latency,1642.05,1-t1-agent-Player 1: blue,Player 1: blue,Crewmate,"{""latency_ms"": 1642.05, ""prompt_tokens"": 1398, ""completion_tokens"": 175, ""phase"": ""Task phase"", ""step"": 1, ""thinking_depth_wc"": 71}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-28_exp_5\structured-v1\api_calls_v1.jsonl,7,2026-02-28 13:05:54.455756,
C06,2026-02-28_exp_5,api_call_latency,3365.79,1-t1-agent-Player 2: pink,Player 2: pink,Impostor,"{""latency_ms"": 3365.79, ""prompt_tokens"": 1343, ""completion_tokens"": 247, ""phase"": ""Task phase"", ""step"": 1, ""thinking_depth_wc"": 154}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-28_exp_5\structured-v1\api_calls_v1.jsonl,8,2026-02-28 13:05:57.828586,
C06,2026-02-28_exp_5,api_call_latency,2029.82,1-t1-agent-Player 3: lime,Player 3: lime,Crewmate,"{""latency_ms"": 2029.82, ""prompt_tokens"": 1390, ""completion_tokens"": 200, ""phase"": ""Task phase"", ""step"": 1, ""thinking_depth_wc"": 62}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-28_exp_5\structured-v1\api_calls_v1.jsonl,9,2026-02-28 13:05:59.865499,
C06,2026-02-28_exp_5,api_call_latency,1663.96,1-t1-agent-Player 4: white,Player 4: white,Crewmate,"{""latency_ms"": 1663.96, ""prompt_tokens"": 1384, ""completion_tokens"": 178, ""phase"": ""Task phase"", ""step"": 1, ""thinking_depth_wc"": 72}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-28_exp_5\structured-v1\api_calls_v1.jsonl,10,2026-02-28 13:06:01.538884,
C06,2026-02-28_exp_5,api_call_latency,1892.28,1-t1-agent-Player 6: green,Player 6: green,Crewmate,"{""latency_ms"": 1892.28, ""prompt_tokens"": 1373, ""completion_tokens"": 169, ""phase"": ""Task phase"", ""step"": 1, ""thinking_depth_wc"": 65}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-28_exp_5\structured-v1\api_calls_v1.jsonl,11,2026-02-28 13:06:07.781872,
C06,2026-02-28_exp_5,api_call_latency,2277.04,1-t1-agent-Player 7: red,Player 7: red,Crewmate,"{""latency_ms"": 2277.04, ""prompt_tokens"": 1344, ""completion_tokens"": 121, ""phase"": ""Task phase"", ""step"": 1, ""thinking_depth_wc"": 34}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-28_exp_5\structured-v1\api_calls_v1.jsonl,12,2026-02-28 13:06:10.070966,
