config_id,run_id,metric_name,metric_value,event_ids,actor,actor_identity,key_fields,source_file,line_number,timestamp,notes
C08,2026-03-01_exp_10,vote_correctness,correct,2026-03-01_exp_10:game:4:event:96,Player 1: red,Crewmate,"{""target"": ""Player 5: pink"", ""target_identity"": ""Impostor"", ""meeting_id"": 1, ""correct"": true, ""human_voter"": false}",C:\Users\shiven\Desktop\AmongUs\amongus_llama_human_impostor\2026-03-01_exp_10\structured-v1\events_v1.jsonl,96,2026-03-01T08:26:54.941227Z,
C08,2026-03-01_exp_10,vote_correctness,correct,2026-03-01_exp_10:game:4:event:97,Player 2: yellow,Crewmate,"{""target"": ""Player 6: purple"", ""target_identity"": ""Impostor"", ""meeting_id"": 1, ""correct"": true, ""human_voter"": false}",C:\Users\shiven\Desktop\AmongUs\amongus_llama_human_impostor\2026-03-01_exp_10\structured-v1\events_v1.jsonl,97,2026-03-01T08:26:59.966731Z,
C08,2026-03-01_exp_10,vote_correctness,correct,2026-03-01_exp_10:game:4:event:98,Player 3: blue,Crewmate,"{""target"": ""Player 5: pink"", ""target_identity"": ""Impostor"", ""meeting_id"": 1, ""correct"": true, ""human_voter"": false}",C:\Users\shiven\Desktop\AmongUs\amongus_llama_human_impostor\2026-03-01_exp_10\structured-v1\events_v1.jsonl,98,2026-03-01T08:27:09.705726Z,
C08,2026-03-01_exp_10,vote_correctness,correct,2026-03-01_exp_10:game:4:event:99,Player 4: white,Crewmate,"{""target"": ""Player 6: purple"", ""target_identity"": ""Impostor"", ""meeting_id"": 1, ""correct"": true, ""human_voter"": false}",C:\Users\shiven\Desktop\AmongUs\amongus_llama_human_impostor\2026-03-01_exp_10\structured-v1\events_v1.jsonl,99,2026-03-01T08:27:14.838565Z,
C08,2026-03-01_exp_10,vote_correctness,incorrect,2026-03-01_exp_10:game:4:event:100,Player 5: pink,Impostor,"{""target"": ""Player 4: white"", ""target_identity"": ""Crewmate"", ""meeting_id"": 1, ""correct"": false, ""human_voter"": true}",C:\Users\shiven\Desktop\AmongUs\amongus_llama_human_impostor\2026-03-01_exp_10\structured-v1\events_v1.jsonl,100,2026-03-01T08:27:18.338149Z,
C08,2026-03-01_exp_10,vote_correctness,incorrect,2026-03-01_exp_10:game:4:event:101,Player 6: purple,Impostor,"{""target"": ""Player 1: red"", ""target_identity"": ""Crewmate"", ""meeting_id"": 1, ""correct"": false, ""human_voter"": false}",C:\Users\shiven\Desktop\AmongUs\amongus_llama_human_impostor\2026-03-01_exp_10\structured-v1\events_v1.jsonl,101,2026-03-01T08:27:22.940699Z,
C08,2026-03-01_exp_10,vote_correctness,correct,2026-03-01_exp_10:game:4:event:176,Player 2: yellow,Crewmate,"{""target"": ""Player 5: pink"", ""target_identity"": ""Impostor"", ""meeting_id"": 2, ""correct"": true, ""human_voter"": false}",C:\Users\shiven\Desktop\AmongUs\amongus_llama_human_impostor\2026-03-01_exp_10\structured-v1\events_v1.jsonl,176,2026-03-01T08:44:01.025149Z,
C08,2026-03-01_exp_10,vote_correctness,correct,2026-03-01_exp_10:game:4:event:177,Player 3: blue,Crewmate,"{""target"": ""Player 6: purple"", ""target_identity"": ""Impostor"", ""meeting_id"": 2, ""correct"": true, ""human_voter"": false}",C:\Users\shiven\Desktop\AmongUs\amongus_llama_human_impostor\2026-03-01_exp_10\structured-v1\events_v1.jsonl,177,2026-03-01T08:44:06.646553Z,
C08,2026-03-01_exp_10,vote_correctness,correct,2026-03-01_exp_10:game:4:event:178,Player 4: white,Crewmate,"{""target"": ""Player 5: pink"", ""target_identity"": ""Impostor"", ""meeting_id"": 2, ""correct"": true, ""human_voter"": false}",C:\Users\shiven\Desktop\AmongUs\amongus_llama_human_impostor\2026-03-01_exp_10\structured-v1\events_v1.jsonl,178,2026-03-01T08:44:09.846325Z,
C08,2026-03-01_exp_10,vote_correctness,incorrect,2026-03-01_exp_10:game:4:event:179,Player 5: pink,Impostor,"{""target"": ""Player 4: white"", ""target_identity"": ""Crewmate"", ""meeting_id"": 2, ""correct"": false, ""human_voter"": true}",C:\Users\shiven\Desktop\AmongUs\amongus_llama_human_impostor\2026-03-01_exp_10\structured-v1\events_v1.jsonl,179,2026-03-01T08:45:10.700156Z,
