source,experiment_dir,date,run_label,tournament_cell,human_role,crewmate_model,impostor_model,prompt_profile,aggression_level,completed,winner,winner_code,human_outcome,winner_reason_raw,special_config
shiven,2026-02-26_exp_0,2026-02-26,,,,meta-llama/llama-3-8b-instruct,meta-llama/llama-3-8b-instruct,baseline_v1,,Yes,Impostors (outnumbered crewmates),1,,Impostors win! (Crewmates being outnumbered or tied to impostors)),pre-tournament test
shiven,2026-02-26_exp_1,2026-02-26,,,,meta-llama/llama-3-8b-instruct,meta-llama/llama-3-8b-instruct,baseline_v1,,No,,,,,pre-tournament test
shiven,2026-02-26_exp_10,2026-02-26,RUN_002,H_IMP_FRONTIER,impostor,openai/gpt-5-mini,openai/gpt-5-mini,baseline_v1,,No,,,,,
shiven,2026-02-26_exp_11,2026-02-26,RUN_003,H_CREW_FRONTIER,crewmate,anthropic/claude-3.5-haiku,anthropic/claude-3.5-haiku,baseline_v1,,Yes,Crewmates (all tasks completed),3,Human wins,Crewmates win! (All task completed),
shiven,2026-02-26_exp_12,2026-02-26,RUN_003,H_CREW_FRONTIER,crewmate,anthropic/claude-3.5-haiku,anthropic/claude-3.5-haiku,baseline_v1,,Yes,Crewmates (all tasks completed),3,Human wins,Crewmates win! (All task completed),
shiven,2026-02-26_exp_13,2026-02-26,RUN_003,H_CREW_FRONTIER,crewmate,anthropic/claude-3.5-haiku,anthropic/claude-3.5-haiku,baseline_v1,,Yes,Crewmates (all tasks completed),3,Human wins,Crewmates win! (All task completed),
shiven,2026-02-26_exp_14,2026-02-26,RUN_003,H_CREW_FRONTIER,crewmate,anthropic/claude-3.5-haiku,anthropic/claude-3.5-haiku,baseline_v1,,Yes,Crewmates (all tasks completed),3,Human wins,Crewmates win! (All task completed),
shiven,2026-02-26_exp_15,2026-02-26,RUN_003,H_CREW_FRONTIER,crewmate,anthropic/claude-3.5-haiku,anthropic/claude-3.5-haiku,baseline_v1,,Yes,Crewmates (all tasks completed),3,Human wins,Crewmates win! (All task completed),
shiven,2026-02-26_exp_2,2026-02-26,,,,meta-llama/llama-3-8b-instruct,meta-llama/llama-3-8b-instruct,baseline_v1,,No,,,,,pre-tournament test
shiven,2026-02-26_exp_3,2026-02-26,,,,meta-llama/llama-3-8b-instruct,meta-llama/llama-3-8b-instruct,baseline_v1,,Yes,Crewmates (impostors eliminated),2,,Crewmates win! (Impostors eliminated),pre-tournament test
shiven,2026-02-26_exp_4,2026-02-26,,,,meta-llama/llama-3-8b-instruct,meta-llama/llama-3-8b-instruct,baseline_v1,,No,,,,,pre-tournament test
shiven,2026-02-26_exp_5,2026-02-26,RUN_001,H_CREW_FRONTIER,,openai/gpt-5-mini,openai/gpt-5-mini,baseline_v1,,Yes,Crewmates (all tasks completed),3,,Crewmates win! (All task completed),
shiven,2026-02-26_exp_6,2026-02-26,RUN_001,H_CREW_FRONTIER,,openai/gpt-5-mini,openai/gpt-5-mini,baseline_v1,,No,,,,,
shiven,2026-02-26_exp_7,2026-02-26,RUN_002,H_IMP_FRONTIER,,openai/gpt-5-mini,openai/gpt-5-mini,baseline_v1,,No,,,,,
shiven,2026-02-26_exp_8,2026-02-26,RUN_002,H_IMP_FRONTIER,impostor,openai/gpt-5-mini,openai/gpt-5-mini,baseline_v1,,No,,,,,
shiven,2026-02-26_exp_9,2026-02-26,RUN_002,H_IMP_FRONTIER,impostor,openai/gpt-5-mini,openai/gpt-5-mini,baseline_v1,,No,,,,,
shiven,2026-02-27_exp_0,2026-02-27,RUN_004,H_IMP_FRONTIER,impostor,anthropic/claude-3.5-haiku,anthropic/claude-3.5-haiku,baseline_v1,,Yes,Impostors (outnumbered crewmates),1,Human wins,Impostors win! (Crewmates being outnumbered or tied to impostors)),
shiven,2026-02-27_exp_1,2026-02-27,RUN_004,H_IMP_FRONTIER,impostor,anthropic/claude-3.5-haiku,anthropic/claude-3.5-haiku,baseline_v1,,Yes,Impostors (outnumbered crewmates),1,Human wins,Impostors win! (Crewmates being outnumbered or tied to impostors)),
shiven,2026-02-27_exp_10,2026-02-27,RUN_006,H_IMP_FRONTIER,impostor,google/gemini-2.0-flash,google/gemini-2.0-flash,baseline_v1,,No,,,,,
shiven,2026-02-27_exp_11,2026-02-27,RUN_005,H_CREW_FRONTIER,crewmate,google/gemini-2.5-flash,google/gemini-2.5-flash,baseline_v1,,Yes,Impostors (outnumbered crewmates),1,Human loses,Impostors win! (Crewmates being outnumbered or tied to impostors)),
shiven,2026-02-27_exp_12,2026-02-27,RUN_006,H_IMP_FRONTIER,impostor,google/gemini-2.0-flash,google/gemini-2.0-flash,baseline_v1,,No,,,,,
shiven,2026-02-27_exp_13,2026-02-27,RUN_006,H_IMP_FRONTIER,impostor,google/gemini-2.5-flash,google/gemini-2.5-flash,baseline_v1,,Yes,Impostors (outnumbered crewmates),1,Human wins,Impostors win! (Crewmates being outnumbered or tied to impostors)),
shiven,2026-02-27_exp_14,2026-02-27,RUN_006,H_IMP_FRONTIER,impostor,google/gemini-2.5-flash,google/gemini-2.5-flash,baseline_v1,,Yes,Impostors (outnumbered crewmates),1,Human wins,Impostors win! (Crewmates being outnumbered or tied to impostors)),
shiven,2026-02-27_exp_15,2026-02-27,RUN_006,H_IMP_FRONTIER,impostor,google/gemini-2.5-flash,google/gemini-2.5-flash,baseline_v1,,Yes,Impostors (outnumbered crewmates),1,Human wins,Impostors win! (Crewmates being outnumbered or tied to impostors)),
shiven,2026-02-27_exp_16,2026-02-27,RUN_006,H_IMP_FRONTIER,impostor,google/gemini-2.5-flash,google/gemini-2.5-flash,baseline_v1,,No,,,,,
shiven,2026-02-27_exp_17,2026-02-27,RUN_002,H_IMP_FRONTIER,impostor,openai/gpt-5-mini,openai/gpt-5-mini,baseline_v1,,Yes,Impostors (outnumbered crewmates),1,Human wins,Impostors win! (Crewmates being outnumbered or tied to impostors)),
shiven,2026-02-27_exp_18,2026-02-27,RUN_007,H_CREW_OPEN,crewmate,meta-llama/llama-3.1-8b-instruct,meta-llama/llama-3.1-8b-instruct,baseline_v1,,Yes,Crewmates (impostors eliminated),2,Human wins,Crewmates win! (Impostors eliminated),
shiven,2026-02-27_exp_2,2026-02-27,RUN_004,H_IMP_FRONTIER,impostor,anthropic/claude-3.5-haiku,anthropic/claude-3.5-haiku,baseline_v1,,Yes,Impostors (outnumbered crewmates),1,Human wins,Impostors win! (Crewmates being outnumbered or tied to impostors)),
shiven,2026-02-27_exp_3,2026-02-27,RUN_004,H_IMP_FRONTIER,impostor,anthropic/claude-3.5-haiku,anthropic/claude-3.5-haiku,baseline_v1,,Yes,Impostors (outnumbered crewmates),1,Human wins,Impostors win! (Crewmates being outnumbered or tied to impostors)),
shiven,2026-02-27_exp_4,2026-02-27,RUN_004,H_IMP_FRONTIER,impostor,anthropic/claude-3.5-haiku,anthropic/claude-3.5-haiku,baseline_v1,,Yes,Crewmates (all tasks completed),3,Human loses,Crewmates win! (All task completed),
