config_id,run_id,metric_name,metric_value,event_ids,actor,actor_identity,actor_source,key_fields,source_file,line_number,timestamp,notes
C01,2026-02-26_exp_15,crewmate_vote_accuracy_v2,correct,2026-02-26_exp_15:game:5:event:40,Player 4: pink,Crewmate,llm,"{""target"": ""Player 2: red"", ""target_identity"": ""Impostor"", ""meeting_id"": 1, ""correct"": true, ""voter_source"": ""llm""}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-26_exp_15\structured-v1\events_v1.jsonl,40,2026-02-26T15:35:19.233488Z,
C01,2026-02-26_exp_15,crewmate_vote_accuracy_v2,correct,2026-02-26_exp_15:game:5:event:41,Player 5: orange,Crewmate,llm,"{""target"": ""Player 2: red"", ""target_identity"": ""Impostor"", ""meeting_id"": 1, ""correct"": true, ""voter_source"": ""llm""}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-26_exp_15\structured-v1\events_v1.jsonl,41,2026-02-26T15:35:25.604848Z,
C01,2026-02-26_exp_15,crewmate_vote_accuracy_v2,correct,2026-02-26_exp_15:game:5:event:42,Player 6: white,Crewmate,human,"{""target"": ""Player 2: red"", ""target_identity"": ""Impostor"", ""meeting_id"": 1, ""correct"": true, ""voter_source"": ""human""}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-26_exp_15\structured-v1\events_v1.jsonl,42,2026-02-26T15:35:28.526041Z,
C01,2026-02-26_exp_15,crewmate_vote_accuracy_v2,correct,2026-02-26_exp_15:game:5:event:43,Player 7: brown,Crewmate,llm,"{""target"": ""Player 2: red"", ""target_identity"": ""Impostor"", ""meeting_id"": 1, ""correct"": true, ""voter_source"": ""llm""}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-26_exp_15\structured-v1\events_v1.jsonl,43,2026-02-26T15:35:34.826144Z,
C01,2026-02-26_exp_15,crewmate_vote_accuracy_v2,incorrect,2026-02-26_exp_15:game:5:event:87,Player 4: pink,Crewmate,llm,"{""target"": ""Player 6: white"", ""target_identity"": ""Crewmate"", ""meeting_id"": 2, ""correct"": false, ""voter_source"": ""llm""}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-26_exp_15\structured-v1\events_v1.jsonl,87,2026-02-26T15:48:48.504422Z,
C01,2026-02-26_exp_15,crewmate_vote_accuracy_v2,incorrect,2026-02-26_exp_15:game:5:event:88,Player 6: white,Crewmate,human,"{""target"": ""Player 7: brown"", ""target_identity"": ""Crewmate"", ""meeting_id"": 2, ""correct"": false, ""voter_source"": ""human""}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-26_exp_15\structured-v1\events_v1.jsonl,88,2026-02-26T15:48:54.547912Z,
C01,2026-02-26_exp_15,crewmate_vote_accuracy_v2,incorrect,2026-02-26_exp_15:game:5:event:89,Player 7: brown,Crewmate,llm,"{""target"": ""Player 6: white"", ""target_identity"": ""Crewmate"", ""meeting_id"": 2, ""correct"": false, ""voter_source"": ""llm""}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-26_exp_15\structured-v1\events_v1.jsonl,89,2026-02-26T15:49:04.092910Z,
C01,2026-02-28_exp_0,crewmate_vote_accuracy_v2,correct,2026-02-28_exp_0:game:1:event:64,Player 1: white,Crewmate,llm,"{""target"": ""Player 2: pink"", ""target_identity"": ""Impostor"", ""meeting_id"": 1, ""correct"": true, ""voter_source"": ""llm""}",C:\Users\shiven\Desktop\AmongUs\aadi-expt-logs\expt-logs\2026-02-28_exp_0\structured-v1\events_v1.jsonl,64,2026-02-28T08:11:39.843030Z,
C01,2026-02-28_exp_0,crewmate_vote_accuracy_v2,correct,2026-02-28_exp_0:game:1:event:66,Player 3: red,Crewmate,llm,"{""target"": ""Player 2: pink"", ""target_identity"": ""Impostor"", ""meeting_id"": 1, ""correct"": true, ""voter_source"": ""llm""}",C:\Users\shiven\Desktop\AmongUs\aadi-expt-logs\expt-logs\2026-02-28_exp_0\structured-v1\events_v1.jsonl,66,2026-02-28T08:11:55.737792Z,
C01,2026-02-28_exp_0,crewmate_vote_accuracy_v2,correct,2026-02-28_exp_0:game:1:event:68,Player 5: yellow,Crewmate,llm,"{""target"": ""Player 2: pink"", ""target_identity"": ""Impostor"", ""meeting_id"": 1, ""correct"": true, ""voter_source"": ""llm""}",C:\Users\shiven\Desktop\AmongUs\aadi-expt-logs\expt-logs\2026-02-28_exp_0\structured-v1\events_v1.jsonl,68,2026-02-28T08:12:10.402992Z,
C01,2026-02-28_exp_0,crewmate_vote_accuracy_v2,correct,2026-02-28_exp_0:game:1:event:69,Player 7: brown,Crewmate,human,"{""target"": ""Player 2: pink"", ""target_identity"": ""Impostor"", ""meeting_id"": 1, ""correct"": true, ""voter_source"": ""human""}",C:\Users\shiven\Desktop\AmongUs\aadi-expt-logs\expt-logs\2026-02-28_exp_0\structured-v1\events_v1.jsonl,69,2026-02-28T08:12:14.163281Z,
