config_id,run_id,metric_name,metric_value,event_ids,actor,actor_identity,key_fields,source_file,line_number,timestamp,notes
C04,2026-02-27_exp_13,api_call_latency,1562.43,1-t0-agent-Player 1: purple,Player 1: purple,Crewmate,"{""latency_ms"": 1562.43, ""prompt_tokens"": 1005, ""completion_tokens"": 144, ""phase"": ""Task phase"", ""step"": 0, ""thinking_depth_wc"": 53}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-27_exp_13\structured-v1\api_calls_v1.jsonl,1,2026-02-27 14:35:05.554423,
C04,2026-02-27_exp_13,api_call_latency,1898.79,1-t0-agent-Player 2: lime,Player 2: lime,Crewmate,"{""latency_ms"": 1898.79, ""prompt_tokens"": 1008, ""completion_tokens"": 124, ""phase"": ""Task phase"", ""step"": 0, ""thinking_depth_wc"": 57}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-27_exp_13\structured-v1\api_calls_v1.jsonl,2,2026-02-27 14:35:07.471602,
C04,2026-02-27_exp_13,api_call_latency,1587.2,1-t0-agent-Player 3: blue,Player 3: blue,Crewmate,"{""latency_ms"": 1587.2, ""prompt_tokens"": 1034, ""completion_tokens"": 153, ""phase"": ""Task phase"", ""step"": 0, ""thinking_depth_wc"": 66}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-27_exp_13\structured-v1\api_calls_v1.jsonl,3,2026-02-27 14:35:09.069867,
C04,2026-02-27_exp_13,api_call_latency,1586.04,1-t0-agent-Player 4: red,Player 4: red,Crewmate,"{""latency_ms"": 1586.04, ""prompt_tokens"": 1048, ""completion_tokens"": 100, ""phase"": ""Task phase"", ""step"": 0, ""thinking_depth_wc"": 36}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-27_exp_13\structured-v1\api_calls_v1.jsonl,4,2026-02-27 14:35:10.666817,
C04,2026-02-27_exp_13,api_call_latency,3671.94,1-t0-agent-Player 7: brown,Player 7: brown,Impostor,"{""latency_ms"": 3671.94, ""prompt_tokens"": 1072, ""completion_tokens"": 449, ""phase"": ""Task phase"", ""step"": 0, ""thinking_depth_wc"": 274}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-27_exp_13\structured-v1\api_calls_v1.jsonl,5,2026-02-27 14:35:27.321631,
C04,2026-02-27_exp_13,api_call_latency,1778.8,1-t1-agent-Player 1: purple,Player 1: purple,Crewmate,"{""latency_ms"": 1778.8, ""prompt_tokens"": 1161, ""completion_tokens"": 168, ""phase"": ""Task phase"", ""step"": 1, ""thinking_depth_wc"": 53}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-27_exp_13\structured-v1\api_calls_v1.jsonl,6,2026-02-27 14:35:29.111821,
C04,2026-02-27_exp_13,api_call_latency,1367.19,1-t1-agent-Player 2: lime,Player 2: lime,Crewmate,"{""latency_ms"": 1367.19, ""prompt_tokens"": 1156, ""completion_tokens"": 129, ""phase"": ""Task phase"", ""step"": 1, ""thinking_depth_wc"": 56}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-27_exp_13\structured-v1\api_calls_v1.jsonl,7,2026-02-27 14:35:30.489701,
C04,2026-02-27_exp_13,api_call_latency,1706.18,1-t1-agent-Player 3: blue,Player 3: blue,Crewmate,"{""latency_ms"": 1706.18, ""prompt_tokens"": 1166, ""completion_tokens"": 170, ""phase"": ""Task phase"", ""step"": 1, ""thinking_depth_wc"": 87}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-27_exp_13\structured-v1\api_calls_v1.jsonl,8,2026-02-27 14:35:32.206478,
C04,2026-02-27_exp_13,api_call_latency,1715.96,1-t1-agent-Player 4: red,Player 4: red,Crewmate,"{""latency_ms"": 1715.96, ""prompt_tokens"": 1112, ""completion_tokens"": 159, ""phase"": ""Task phase"", ""step"": 1, ""thinking_depth_wc"": 47}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-27_exp_13\structured-v1\api_calls_v1.jsonl,9,2026-02-27 14:35:33.933348,
C04,2026-02-27_exp_13,api_call_latency,2041.97,1-t1-agent-Player 7: brown,Player 7: brown,Impostor,"{""latency_ms"": 2041.97, ""prompt_tokens"": 1513, ""completion_tokens"": 212, ""phase"": ""Task phase"", ""step"": 1, ""thinking_depth_wc"": 95}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-27_exp_13\structured-v1\api_calls_v1.jsonl,10,2026-02-27 14:35:39.963185,
C04,2026-02-27_exp_13,api_call_latency,2175.11,1-t2-agent-Player 1: purple,Player 1: purple,Crewmate,"{""latency_ms"": 2175.11, ""prompt_tokens"": 1244, ""completion_tokens"": 169, ""phase"": ""Task phase"", ""step"": 2, ""thinking_depth_wc"": 61}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-27_exp_13\structured-v1\api_calls_v1.jsonl,11,2026-02-27 14:35:42.149858,
